parcela,año,Especie,fun_group,abundancia,abundancia_std,area_total_ha,area_somera_ha,area_profunda_ha
A1,2014,Plegadis falcinellus,wader_deep,1,8.022462896109105e-5,56.34,4.95,51.39
A1,2014,Recurvirostra avosetta,wader_mid,140,0.01138211382113821,56.34,4.95,51.39
A1,2014,Spatula clypeata,duck_dabb,252,0.00504,56.34,4.95,51.39
A1,2015,Anas acuta,duck_dabb,3,5.882352941176471e-5,56.16,5.31,50.85
A1,2015,Anas platyrhynchos,duck_dabb,276,0.0276,56.16,5.31,50.85
A1,2015,Aythya ferina,duck_dive,2600,0.26,56.16,5.31,50.85
A1,2015,Aythya nyroca,duck_dive,6,0.35294117647058826,56.16,5.31,50.85
A1,2015,Himantopus himantopus,wader_mid,84,0.01292307692307692,56.16,5.31,50.85
A1,2015,Mareca strepera,duck_dabb,20,0.008,56.16,5.31,50.85
A1,2015,Netta rufina,duck_dive,98,0.01272727272727272,56.16,5.31,50.85
A1,2015,Phoenicopterus roseus,wader_deep,290,0.00825528765407498,56.16,5.31,50.85
A1,2015,Platalea leucorodia,wader_deep,59,0.13053097345132744,56.16,5.31,50.85
A1,2015,Recurvirostra avosetta,wader_mid,162,0.01317073170731707,56.16,5.31,50.85
A1,2015,Spatula clypeata,duck_dabb,63,0.00126,56.16,5.31,50.85
A1,2016,Actitis hypoleucos,wader_shall,1,0.05555555555555555,56.88,11.61,45.27
A1,2016,Anas platyrhynchos,duck_dabb,125,0.0125,56.88,11.61,45.27
A1,2016,Aythya ferina,duck_dive,450,0.045,56.88,11.61,45.27
A1,2016,Gallinago gallinago,wader_shall,5,0.00792393026941363,56.88,11.61,45.27
A1,2016,Himantopus himantopus,wader_mid,75,0.01153846153846153,56.88,11.61,45.27
A1,2016,Netta rufina,duck_dive,50,0.00649350649350649,56.88,11.61,45.27
A1,2016,Oxyura leucocephala,duck_dive,14,0.0440251572327044,56.88,11.61,45.27
A1,2016,Phoenicopterus roseus,wader_deep,147,0.00418457684534145,56.88,11.61,45.27
A1,2016,Platalea leucorodia,wader_deep,66,0.14601769911504425,56.88,11.61,45.27
A1,2016,Plegadis falcinellus,wader_deep,42,0.00336943441636582,56.88,11.61,45.27
A1,2016,Recurvirostra avosetta,wader_mid,100,0.008130081300813,56.88,11.61,45.27
A1,2016,Spatula clypeata,duck_dabb,64,0.00128,56.88,11.61,45.27
A1,2016,Tringa ochropus,wader_shall,1,0.00552486187845303,56.88,11.61,45.27
A1,2016,Tringa totanus,wader_shall,11,0.01926444833625219,56.88,11.61,45.27
A1,2017,Anas platyrhynchos,duck_dabb,654,0.0654,56.07,4.68,51.39
A1,2017,Aythya ferina,duck_dive,3640,0.364,56.07,4.68,51.39
A1,2017,Himantopus himantopus,wader_mid,74,0.01138461538461538,56.07,4.68,51.39
A1,2017,Mareca strepera,duck_dabb,64,0.0256,56.07,4.68,51.39
A1,2017,Netta rufina,duck_dive,85,0.01103896103896104,56.07,4.68,51.39
A1,2017,Phoenicopterus roseus,wader_deep,112,0.00318824902502206,56.07,4.68,51.39
A1,2017,Platalea leucorodia,wader_deep,24,0.05309734513274336,56.07,4.68,51.39
A1,2017,Recurvirostra avosetta,wader_mid,98,0.00796747967479674,56.07,4.68,51.39
A1,2017,Spatula clypeata,duck_dabb,271,0.00542,56.07,4.68,51.39
A1,2017,Tadorna tadorna,duck_dabb,5,4.807692307692308e-4,56.07,4.68,51.39
A1,2018,Anas platyrhynchos,duck_dabb,80,0.008,56.52,5.04,51.48
A1,2018,Aythya ferina,duck_dive,240,0.024,56.52,5.04,51.48
A1,2018,Himantopus himantopus,wader_mid,15,0.0023076923076923,56.52,5.04,51.48
A1,2018,Mareca strepera,duck_dabb,10,0.004,56.52,5.04,51.48
A1,2018,Phoenicopterus roseus,wader_deep,850,0.02419653277918529,56.52,5.04,51.48
A1,2018,Platalea leucorodia,wader_deep,42,0.09292035398230088,56.52,5.04,51.48
A1,2018,Recurvirostra avosetta,wader_mid,160,0.01300813008130081,56.52,5.04,51.48
A1,2018,Spatula clypeata,duck_dabb,158,0.00316,56.52,5.04,51.48
A1,2019,Anas acuta,duck_dabb,90,0.00176470588235294,57.42,4.95,52.47
A1,2019,Anas crecca,duck_dabb,36,0.0018,57.42,4.95,52.47
A1,2019,Anas platyrhynchos,duck_dabb,658,0.0658,57.42,4.95,52.47
A1,2019,Aythya ferina,duck_dive,350,0.035,57.42,4.95,52.47
A1,2019,Gallinago gallinago,wader_shall,3,0.00475435816164817,57.42,4.95,52.47
A1,2019,Himantopus himantopus,wader_mid,395,0.06076923076923077,57.42,4.95,52.47
A1,2019,Mareca penelope,duck_dabb,240,0.0120961645078373,57.42,4.95,52.47
A1,2019,Mareca strepera,duck_dabb,20,0.008,57.42,4.95,52.47
A1,2019,Netta rufina,duck_dive,120,0.01558441558441558,57.42,4.95,52.47
A1,2019,Oxyura leucocephala,duck_dive,15,0.04716981132075472,57.42,4.95,52.47
A1,2019,Phoenicopterus roseus,wader_deep,227,0.00646189757750007,57.42,4.95,52.47
A1,2019,Platalea leucorodia,wader_deep,46,0.10176991150442478,57.42,4.95,52.47
A1,2019,Plegadis falcinellus,wader_deep,16,0.00128359406337745,57.42,4.95,52.47
