parcela,año,Especie,fun_group,abundancia,abundancia_std
A1,2014,Recurvirostra avosetta,wader_mid,140,0.011382113821138212
A1,2014,Spatula clypeata,duck_dabb,252,0.00504
A1,2015,Anas acuta,duck_dabb,3,5.882352941176471e-5
A1,2015,Anas platyrhynchos,duck_dabb,276,0.0276
A1,2015,Aythya ferina,duck_dive,2600,0.26
A1,2015,Aythya nyroca,duck_dive,6,0.35294117647058826
A1,2015,Himantopus himantopus,wader_mid,84,0.012923076923076923
A1,2015,Mareca strepera,duck_dabb,20,0.008
A1,2015,Netta rufina,duck_dive,98,0.012727272727272728
A1,2015,Phoenicopterus roseus,wader_deep,290,0.00825528765407498
A1,2015,Platalea leucorodia,wader_deep,59,0.13053097345132744
A1,2015,Recurvirostra avosetta,wader_mid,162,0.013170731707317073
A1,2015,Spatula clypeata,duck_dabb,63,0.00126
A1,2016,Actitis hypoleucos,wader_shall,1,0.05555555555555555
A1,2016,Anas platyrhynchos,duck_dabb,125,0.0125
A1,2016,Aythya ferina,duck_dive,450,0.045
A1,2016,Gallinago gallinago,wader_shall,5,0.00792393026941363
A1,2016,Himantopus himantopus,wader_mid,75,0.011538461538461539
A1,2016,Netta rufina,duck_dive,50,0.006493506493506494
A1,2016,Oxyura leucocephala,duck_dive,14,0.0440251572327044
A1,2016,Phoenicopterus roseus,wader_deep,147,0.0041845768453414554
A1,2016,Platalea leucorodia,wader_deep,66,0.14601769911504425
A1,2016,Plegadis falcinellus,wader_deep,42,0.0033694344163658243
A1,2016,Recurvirostra avosetta,wader_mid,100,0.008130081300813009
A1,2016,Spatula clypeata,duck_dabb,64,0.00128
A1,2016,Tringa ochropus,wader_shall,1,0.0055248618784530384
A1,2016,Tringa totanus,wader_shall,11,0.01926444833625219
A1,2017,Anas platyrhynchos,duck_dabb,654,0.0654
A1,2017,Aythya ferina,duck_dive,3640,0.364
A1,2017,Himantopus himantopus,wader_mid,74,0.011384615384615385
A1,2017,Mareca strepera,duck_dabb,64,0.0256
A1,2017,Netta rufina,duck_dive,85,0.01103896103896104
A1,2017,Phoenicopterus roseus,wader_deep,112,0.0031882490250220615
A1,2017,Platalea leucorodia,wader_deep,24,0.05309734513274336
A1,2017,Recurvirostra avosetta,wader_mid,98,0.007967479674796748
A1,2017,Spatula clypeata,duck_dabb,271,0.00542
A1,2017,Tadorna tadorna,duck_dabb,5,4.807692307692308e-4
A1,2018,Anas platyrhynchos,duck_dabb,80,0.008
A1,2018,Aythya ferina,duck_dive,240,0.024
A1,2018,Himantopus himantopus,wader_mid,15,0.002307692307692308
A1,2018,Mareca strepera,duck_dabb,10,0.004
