año,fun_group,mediana_abundancia_anual,humedad_media_regional
2005,duck_dabb,0.006865384615384615,81.66294642857143
2005,duck_dive,0.0051,72.85935483870968
2005,grazer,3.4090909090909094e-4,68.81225806451613
2005,wader_deep,0.00884955752212389,79.31223529411764
2005,wader_mid,0.00923076923076923,96.68268907563025
2005,wader_shall,0.022159679465543126,134.71229508196723
2006,duck_dabb,0.004,72.03654135338346
2006,duck_dive,0.00779220779220779,69.72176470588235
2006,grazer,0.00681818181818181,88.24153846153847
2006,wader_deep,0.01280992911839221,95.34517241379311
2006,wader_mid,0.01461538461538461,96.29126213592232
2006,wader_shall,0.0501102228238996,177.7768656716418
2007,duck_dabb,0.0048,80.39373134328358
2007,duck_dive,0.009,81.73695652173913
2007,grazer,0.00293181818181818,85.5855
2007,wader_deep,0.01106194690265486,114.80530120481927
2007,wader_mid,0.01076923076923076,92.86916666666667
2007,wader_shall,0.02377179080824089,125.59022346368715
2008,duck_dabb,0.004,80.88192660550459
2008,duck_dive,0.00584415584415584,69.15714285714286
2008,grazer,0.00486363636363636,79.675
2008,wader_deep,0.01106194690265486,85.73576086956521
2008,wader_mid,0.00838461538461538,113.58798387096775
2008,wader_shall,0.02636203866432337,173.83058823529413
2009,duck_dabb,0.0065,64.03378378378379
2009,duck_dive,0.00825,28.404
2009,grazer,0.00129545454545454,97.70333333333333
2009,wader_deep,0.01181360129807281,86.8668
2009,wader_mid,0.00821888680425265,115.24153846153847
2009,wader_shall,0.03152364273204904,183.06070866141732
2010,duck_dabb,0.0058,159.435
2010,duck_dive,0.00974025974025974,144.63521739130434
2010,grazer,0.00131818181818181,442.6714285714286
2010,wader_deep,0.01327433628318584,208.1025
2010,wader_mid,0.01615384615384615,160.83369863013698
2010,wader_shall,0.03857429024945967,320.3536153846154
2011,duck_dabb,9.499999999999999e-5,57.1275
2011,duck_dive,0.01886792452830188,0.72
2011,wader_deep,0.0137048607446083,113.175
2011,wader_mid,0.00434782608695652,97.00714285714285
2011,wader_shall,0.02518518518518518,133.18941176470588
2012,duck_dabb,0.00566,78.88806282722513
2012,duck_dive,0.00844155844155844,61.833698630136986
2012,grazer,0.00270454545454545,126.57857142857144
2012,wader_deep,0.01169973526146488,105.91818181818182
2012,wader_mid,0.0129,139.22504587155964
2012,wader_shall,0.037504347504916914,214.14833333333334
2013,duck_dabb,0.015300000000000001,85.29844537815126
2013,duck_dive,0.00506493506493506,60.240508474576274
2013,grazer,0.00214772727272727,131.4
2013,wader_deep,0.015571652848653646,114.52010869565217
2013,wader_mid,0.010953721075672291,140.428
2013,wader_shall,0.017472890721924164,256.98883561643834
2014,duck_dabb,0.01,125.06468899521532
2014,duck_dive,0.01329350649350649,79.835625
2014,grazer,0.00322727272727272,283.164
2014,wader_deep,0.013070599209941004,135.1575
2014,wader_mid,0.0150181363352095,203.50469387755103
2014,wader_shall,0.04180602006688963,379.84625
2015,duck_dabb,0.009649999999999999,100.22837837837838
2015,duck_dive,0.01257861635220125,69.31164705882352
2015,grazer,5.795454545454545e-4,186.255
2015,wader_deep,0.01426172108514333,153.1997142857143
2015,wader_mid,0.01626016260162601,143.3283157894737
2015,wader_shall,0.02308676079394311,342.4749107142857
2016,duck_dabb,0.0079,99.99354679802956
2016,duck_dive,0.023356289308176098,77.16796875
2016,grazer,0.00184090909090909,284.076
2016,wader_deep,0.01991150442477876,149.01910714285714
2016,wader_mid,0.01721153846153846,194.69076923076923
2016,wader_shall,0.023737747255972295,244.0794
2017,duck_dabb,0.010384615384615381,128.8039090909091
2017,duck_dive,0.0215,72.30705882352942
2017,grazer,0.00645454545454545,255.481875
2017,wader_deep,0.00884955752212389,168.3744827586207
2017,wader_mid,0.0114,248.88623376623377
2017,wader_shall,0.01672240802675585,389.95037593984966
