parcela,año,valor_medio_MNDWI,Ratio_Inundacion_Total,count_seco,count_vegetal,count_verde,count_azul,ratio_seco,ratio_vegetal,ratio_verde,ratio_azul
Entremuros zona 1,2005,-0.3779639734527107,0.004997437211686315,7704,61,35,4,0.9871860584315736,0.007816504356740134,0.0044848795489492565,5.125576627370579e-4
Entremuros zona 2,2005,-0.43403108421093434,5.111167901865576e-4,7729,93,2,2,0.987605417837976,0.011883465371837465,2.555583950932788e-4,2.555583950932788e-4
Entremuros zona 3,2005,-0.40606124255077336,0.03930982745686422,6262,141,129,133,0.9395348837209302,0.02115528882220555,0.01935483870967742,0.019954988747186795
Entremuros zona 4,2005,-0.48274106055826527,0.0028776978417266188,4094,64,5,7,0.9817745803357314,0.015347721822541967,0.001199040767386091,0.0016786570743405275
Entremuros zona 5,2005,-0.5444859568900857,0,4924,0,0,0,1,0,0,0
"Brazo de la Torre, Parque Natural",2005,-0.4006996363257008,0,3307,2,0,0,0.9993955877908733,6.044122091266244e-4,0,0
Veta Adalid,2005,-0.39976791286296753,1.9351717464925012e-4,10316,17,2,0,0.9981615868408321,0.001644895984518626,1.9351717464925012e-4,0
Cantarita,2005,0.02064113379176273,0.1566737138830162,27755,2162,1892,3666,0.7823819591261452,0.06094432699083862,0.05333333333333334,0.10334038054968288
Gaveta 4,2005,0.7551582089878227,0.8789126853377265,98,49,123,944,0.08072487644151564,0.04036243822075782,0.1013179571663921,0.7775947281713345
Gaveta 2,2005,0.6261033605239779,0.7404817404817405,212,122,109,844,0.16472416472416473,0.0947940947940948,0.08469308469308469,0.65578865578865575
B5,2005,0.5608936899488477,0.6692682926829269,239,100,59,627,0.23317073170731709,0.0975609756097561,0.0575609756097561,0.6117073170731707
Gaveta 3,2005,0.6886952988282689,0.7824561403508772,149,99,71,821,0.1307017543859649,0.0868421052631579,0.062280701754385964,0.7201754385964912
B1,2005,0.5735907297715283,0.7224242424242424,172,57,121,475,0.2084848484848485,0.06909090909090909,0.14666666666666667,0.5757575757575758
A3,2005,0.6193421509639317,0.7317784256559767,207,69,62,691,0.20116618075801748,0.06705539358600583,0.06025267249757046,0.6715257531584062
B6,2005,0.611487671587982,0.7471620227038184,168,77,125,599,0.17337461300309598,0.07946336429308566,0.12899896800825594,0.6181630546955624
B8,2005,0.5116045489411749,0.6178107606679035,118,88,54,279,0.2189239332096475,0.16326530612244897,0.10018552875695733,0.5176252319109462
B7,2005,0.658791692903727,0.7748015873015873,164,63,80,701,0.1626984126984127,0.0625,0.07936507936507936,0.6954365079365079
A4,2005,0.5175949005708238,0.6392075078206465,227,119,106,507,0.23670490093847757,0.12408759124087591,0.1105318039624609,0.5286757038581856
B2,2005,0.5913690769284904,0.6956521739130435,174,78,74,502,0.21014492753623187,0.09420289855072464,0.0893719806763285,0.606280193236715
A8,2005,0.5134001346761226,0.6423220973782772,144,47,39,304,0.2696629213483146,0.08801498127340825,0.07303370786516854,0.5692883895131086
A7,2005,0.5871503508734791,0.7105882352941176,151,95,83,521,0.1776470588235294,0.11176470588235295,0.0976470588235294,0.6129411764705882
A6,2005,0.6172852967554984,0.7211328976034859,157,99,67,595,0.1710239651416122,0.10784313725490197,0.07298474945533769,0.6481481481481481
A5,2005,0.23539522604439303,0.3930131004366812,447,109,77,283,0.48799126637554585,0.11899563318777293,0.08406113537117904,0.3089519650655022
B4,2005,0.6550583616530486,0.7596741344195519,165,71,80,666,0.1680244399185336,0.07230142566191446,0.0814663951120163,0.6782077393075356
B3,2005,0.5951029416057262,0.6958250497017893,244,62,48,652,0.24254473161033796,0.061630218687872766,0.04771371769383698,0.6481113320079522
A2,2005,0.49655069283655817,0.6286811779769527,215,75,88,403,0.2752880921895006,0.09603072983354674,0.11267605633802817,0.5160051216389244
A1,2005,0.6242162766631683,0.756394640682095,120,80,66,555,0.146163215590743,0.09744214372716199,0.08038976857490865,0.6760048721071864
C1,2005,0.5672587915677832,0.6916488222698073,185,103,110,536,0.1980728051391863,0.11027837259100642,0.11777301927194861,0.5738758029978587
C8,2005,0.2966762999474431,0.4678068410462777,467,62,54,411,0.46981891348088534,0.06237424547283702,0.05432595573440644,0.4134808853118712
C7,2005,0.5621222404754094,0.6476476476476476,208,144,85,562,0.2082082082082082,0.14414414414414414,0.08508508508508508,0.5625625625625625
C6,2005,0.6136484558936273,0.728,249,125,108,893,0.18109090909090908,0.09090909090909091,0.07854545454545454,0.6494545454545455
D5,2005,0.6789142362438175,0.7794970986460348,211,131,108,1101,0.13604126370083816,0.08446163765312702,0.06963249516441006,0.7098646034816247
C4,2005,0.622883245936125,0.7235099337748344,250,84,93,781,0.20695364238410596,0.0695364238410596,0.07698675496688742,0.6465231788079471
